loopcnt	frac
1000    0.00399678890464072
2000	0.0068491980801749
3000	0.0100944540283874
4000	0.0101969357951731
5000	0.010316497856423
6000	0.0105727022733872
7000	0.0107776658069585
8000	0.0109655490460656
9000	0.0110680308128512
10000   0.0115291987633867
11000	0.0115975199412438
12000	0.0116316805301723
13000	0.0120245273028507
14000	0.0120928484807078
15000	0.0125027755478504
16000	0.0126564981980289
17000	0.012844381437136
18000	0.0132713887987429
19000	0.0133567902710643
20000	0.0133567902710643
21000	0.0137667173382069
22000	0.0137667173382069
23000	0.0140400020496353
24000	0.0141766444053495
25000	0.0141766444053495
26000	0.0143132867610638
27000	0.0144670094112422
28000	0.0144670094112422
29000	0.0145865714724922
30000	0.0148427758894563
31000	0.0148427758894563
32000	0.0151160606008848
33000	0.0152014620732061
34000	0.0152014620732061
35000	0.0153210241344561
36000	0.0153551847233846
37000	0.0153551847233846
38000	0.0154064256067775
39000	0.0154064256067775
40000	0.0154064256067775
41000	0.0156967906126702
42000	0.0156967906126702
43000	0.0160213162074914
44000	0.0161750388576699
45000	0.0161750388576699
46000	0.0164654038635626
47000	0.0164995644524912
48000	0.0164995644524912
49000	0.0165337250414197
50000	0.0165337250414197
51000	0.0167045279860625
52000	0.017046133875348
53000	0.017046133875348
54000	0.0170632141698123
55000	0.0171656959365979
56000	0.0171656959365979
57000	0.0171998565255265
58000	0.0173877397646335
59000	0.0173877397646335
60000	0.0174560609424906
61000	0.0174902215314192
62000	0.0174902215314192
63000	0.017541462414812
64000	0.0176951850649905
64975	0.0176951850649905
