loopcnt	frac
1000	0.00126666866142046
2000	0.00188504233864935
3000	0.00250341601587824
4000	0.00256325862980362
5000	0.00257323239879118
6000	0.00263307501271656
7000	0.00270289139562949
8000	0.00274278647157975
9000	0.00280262908550512
10000	0.00292231431335587
11000	0.002942261851331
12000	0.00298215692728125
13000	0.00307192084816931
14000	0.00308189461715688
15000	0.00346089783868426
16000	0.00348084537665939
17000	0.00352074045260964
18000	0.00364042568046039
19000	0.00371024206337333
20000	0.00373018960134845
21000	0.00378005844628627
22000	0.00378005844628627
23000	0.00380000598426139
24000	0.00383990106021164
25000	0.00383990106021164
26000	0.00391969121211215
27000	0.00397953382603752
28000	0.00397953382603752
29000	0.00406929774692559
30000	0.00412914036085096
31000	0.00412914036085096
32000	0.00428872066465197
33000	0.00430866820262709
34000	0.00430866820262709
35000	0.00440840589250272
36000	0.00440840589250272
37000	0.00440840589250272
38000	0.00447822227541566
39000	0.00447822227541566
40000	0.00447822227541566
41000	0.00453806488934103
42000	0.00453806488934103
43000	0.0047076189621296
44000	0.00479738288301766
45000	0.00479738288301766
46000	0.00505670087669429
47000	0.00510656972163211
48000	0.00510656972163211
49000	0.00512651725960723
50000	0.00512651725960723
51000	0.00522625494948286
52000	0.00552546801910974
53000	0.00552546801910974
54000	0.0055354417880973
55000	0.00566510078493562
56000	0.00566510078493562
57000	0.00568504832291074
58000	0.00574489093683612
59000	0.00574489093683612
60000	0.00578478601278637
61000	0.00581470731974906
62000	0.00581470731974906
63000	0.00589449747164956
64000	0.00589449747164956
64975	0.00589449747164956
